timestamp,heart_rate,hrv,spo2,respiration_rate,movement,skin_temperature
2026-07-05 22:10:00,75,30,98,16.9,0.41,31.8
2026-07-05 22:11:00,75,33,97,15.1,0.98,32.1
2026-07-05 22:12:00,74,41,98,15.1,0.87,31.9
2026-07-05 22:13:00,78,35,97,15.3,1.04,32.0
2026-07-05 22:14:00,72,33,98,16.4,0.88,32.1
2026-07-05 22:15:00,83,33,97,15.2,0.92,32.2
2026-07-05 22:16:00,74,31,97,16.7,0.95,32.1
2026-07-05 22:17:00,71,36,98,16.2,0.97,32.0
2026-07-05 22:18:00,77,35,98,16.6,0.51,32.0
2026-07-05 22:19:00,72,32,97,17.5,0.63,32.1
2026-07-05 22:20:00,67,33,98,16.6,0.94,32.1
2026-07-05 22:21:00,73,33,98,15.8,0.54,31.8
2026-07-05 22:22:00,70,37,98,16.7,0.71,32.0
2026-07-05 22:23:00,77,33,98,15.3,0.73,31.9
2026-07-05 22:24:00,69,37,97,16.0,0.9,32.1
2026-07-05 22:25:00,77,35,97,15.9,0.46,31.8
2026-07-05 22:26:00,69,30,98,15.1,0.72,32.2
2026-07-05 22:27:00,73,39,97,15.8,0.61,31.9
2026-07-05 22:28:00,77,26,98,16.2,0.68,31.8
2026-07-05 22:29:00,74,32,98,16.0,1.12,32.0
2026-07-05 22:30:00,57,56,98,15.1,0.38,32.5
2026-07-05 22:31:00,64,48,97,13.3,0.26,32.2
2026-07-05 22:32:00,62,54,97,13.2,0.33,32.5
2026-07-05 22:33:00,66,72,98,13.2,0.09,32.4
2026-07-05 22:34:00,58,53,97,13.9,0.41,32.4
2026-07-05 22:35:00,60,49,97,13.6,0.29,32.7
2026-07-05 22:36:00,60,61,97,13.1,0.2,32.3
2026-07-05 22:37:00,66,50,98,13.3,0.39,32.5
2026-07-05 22:38:00,60,55,97,14.4,0.25,32.2
2026-07-05 22:39:00,56,56,98,14.1,0.29,32.4
2026-07-05 22:40:00,64,56,97,14.9,0.34,32.6
2026-07-05 22:41:00,61,48,97,15.3,0.47,32.4
2026-07-05 22:42:00,59,64,97,13.3,0.36,32.3
2026-07-05 22:43:00,60,54,98,15.1,0.31,32.5
2026-07-05 22:44:00,54,55,97,13.0,0.21,32.3
2026-07-05 22:45:00,63,47,98,13.6,0.27,32.6
2026-07-05 22:46:00,62,63,97,13.4,0.28,32.4
2026-07-05 22:47:00,61,48,98,14.2,0.55,32.7
2026-07-05 22:48:00,57,53,97,13.5,0.33,32.6
2026-07-05 22:49:00,58,51,97,13.9,0.19,32.3
2026-07-05 22:50:00,57,54,97,12.8,0.51,32.2
2026-07-05 22:51:00,57,66,98,13.1,0.26,32.5
2026-07-05 22:52:00,65,49,97,14.6,0.34,32.3
2026-07-05 22:53:00,60,47,97,13.8,0.32,32.3
2026-07-05 22:54:00,61,61,98,14.3,0.31,32.4
2026-07-05 22:55:00,58,57,97,15.7,0.46,32.5
2026-07-05 22:56:00,58,48,98,14.2,0.35,32.1
